index,subject,verb,object,start,end,subj_dep,subj_tag,obj_dep,obj_tag,Document,clean_verbs,clean_objs
275710,they,need,republican,365,372,nsubj,PRP,dobj,NNP,8426,need,republican
275739,boot,counsels,president,1162,1167,nsubj,NN,dobj,NN,8426,counsel,president
275794,mohammad abdulazeez,murdered,marines,310,315,nsubj,NNP,dobj,NNPS,8429,murder,marine
275857,republicans,control,governor,2031,2038,nsubj,NNPS,dobj,NN,8429,control,governor
275909,she,consulted,economists,1043,1048,nsubj,PRP,dobj,NNS,8430,consult,economist
275915,that,leaves,rivals,1224,1227,nsubj,DT,dobj,NNS,8430,leave,rival
275930,they,court,voters,1661,1671,nsubj,PRP,dobj,NNS,8430,court,voter
275951,i,like,winners,247,255,nsubj,PRP,dobj,NNS,8431,like,winner
275961,which,push,addicts,68,89,nsubj,WDT,dobj,NNS,8432,push,addict
275990,they,could find,teacher,197,213,nsubj,PRP,dobj,NN,8433,find,teacher
276048,lobbyists,warn,clients,1018,1027,nsubj,NNPS,dobj,NNS,8434,warn,client
276231,state,prosecutes,police officer,428,470,nsubj,NN,dobj,NN,8442,prosecute,police officer
276256,trump,called,senator,28,32,nsubj,NNP,dobj,NNP,8444,call,senator
276462,journalists,are assisting,terrorists,130,143,nsubj,NNS,dobj,NNS,8451,assist,terrorist
276621,trump,insulted,senator,282,286,nsubj,NNP,dobj,NN,8455,insult,senator
276653,he,needs,senators,894,901,nsubj,PRP,dobj,NNS,8455,need,senator
276944,that,forced,mayor,46,56,nsubj,WDT,dobj,NN,8466,force,mayor
276948,capping,will harm,minorities,112,127,csubj,VBG,dobj,NNS,8466,harm,minority
276970,it,'s attracting,customers,715,723,nsubj,PRP,dobj,NNS,8466,attract,customer
276971,cap,would harm,minorities,792,800,nsubj,NN,dobj,NNS,8466,harm,minority
277058,china,is threatening,neighbors,341,345,nsubj,NNP,dobj,NNS,8472,threaten,neighbor
277133,i,trust,workers,2260,2271,nsubj,PRP,dobj,NNS,8472,trust,worker
277144,we,need,president,2582,2596,nsubj,PRP,dobj,NN,8472,need,president
277178,we,need,president,3361,3364,nsubj,PRP,dobj,NN,8472,need,president
277180,who,inspires,americans,3378,3386,nsubj,WP,dobj,NNPS,8472,inspire,american
277274,shark,didn't bite,person,219,238,nsubj,NN,dobj,NN,8475,bite,person
277398,paragraph,threatening,allies,2460,2479,nsubj,NN,dobj,NNS,8477,threaten,ally
277399,what,threatening,allies,2460,2479,nsubj,WP,dobj,NNS,8477,threaten,ally
277521,bland,assaulted,police officer,545,554,nsubj,NNP,dobj,NN,8480,assault,police officer
277710,her,joining,senator,2277,2305,nsubj,PRP$,dobj,NN,8482,join,senator
277787,who,shot,boy,1201,1215,nsubj,WP,dobj,NN,8483,shoot,boy
277790,cops,couldn't shoot,felon,1237,1246,nsubj,NNS,dobj,NN,8483,shoot,felon
277825,cafe rules,beg,customers,582,611,nsubj,NNS,dobj,NNS,8484,beg,customer
277852,i,inform,colleague,1405,1408,nsubj,PRP,dobj,NN,8484,inform,colleague
277896,immigration agents,detain,immigrants,232,250,nsubj,NNS,dobj,NNS,8487,detain,immigrant
277899,they,hold,immigrant,288,304,nsubj,PRP,dobj,NN,8487,hold,immigrant
277917,that,are embarrassing,republicans,798,833,nsubj,WDT,dobj,NNPS,8487,embarrass,republican
278010,states,protect,employees,369,377,nsubj,NNS,dobj,NNS,8490,protect,employee
278014,laws,protect,students,487,506,nsubj,NNS,dobj,NNS,8490,protect,student
278017,wisconsin,protects,students,536,556,nsubj,NNP,dobj,NNS,8490,protect,student
278176,fda,bans,men,241,244,nsubj,NNP,dobj,NNS,8494,ban,man
278240,it,needs,friends,933,939,nsubj,PRP,dobj,NNS,8496,need,friend
278366,benefits,are leading,experts,1628,1637,nsubj,NNS,dobj,NNS,8500,lead,expert
278418,she,doesn't understand,politicians,65,95,nsubj,PRP,dobj,NNS,8503,understand,politician
278594,kerry,mocked,republicans,1931,1934,nsubj,NNP,dobj,NNPS,8506,mock,republican
278605,who,helped,republicans,2254,2268,nsubj,WP,dobj,NNPS,8506,help,republican
279044,ministers,have been asking,presidents,580,587,nsubj,NNS,dobj,NNS,8521,ask,president
279359,that,works,americans,2308,2324,nsubj,WDT,dobj,NNPS,8529,work,american
279542,that,antagonizes,republicans,856,864,nsubj,WDT,dobj,NNPS,8535,antagonize,republican
279660,ani,stabs,men,610,615,nsubj,NNP,dobj,NNS,8539,stab,man
279714,schools,are failing,students,128,157,nsubj,NNS,dobj,NNS,8540,fail,student
279754,that,teaches,children,1335,1348,nsubj,WDT,dobj,NNS,8540,teach,child
279941,that,doesn't help,patients,750,779,nsubj,WDT,dobj,NNS,8544,help,patient
280028,reporting,can save,reporters,2179,2187,nsubj,NN,dobj,NNS,8545,save,reporter
280114,'s,find,immigrants,933,948,nsubj,VBZ,dobj,NNS,8548,find,immigrant
280179,we,treat,immigrants,1275,1288,nsubj,PRP,dobj,NNS,8550,treat,immigrant
